num_classes,subset_pct,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,auroc_macro_mean,auroc_macro_std,auroc_macro_min,auroc_macro_max,auprc_macro_mean,auprc_macro_std,auprc_macro_min,auprc_macro_max,mcc_mean,mcc_std,mcc_min,mcc_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,num_samples_first,samples_per_class_first
2,10,0.9573999999999999,0.043771185346831394,0.8685,0.994,0.9573999999999999,0.04377118534683139,0.8685,0.994,0.9573706701830623,0.043823108702821544,0.868393102297341,0.993999945999514,0.98781488,0.019235161622165625,0.940933,0.999779,0.9879153217943661,0.01904230262029206,0.9418432213759076,0.9997810625874883,0.9152557622814101,0.08693397792373717,0.7382001818361983,0.9880316175176489,0.9578564317384504,0.043164426333433537,0.8697011590658048,0.9940316180235536,0.9573999999999999,0.04377118534683139,0.8685,0.994,1200,600
2,20,0.9632599999999999,0.03732099498495006,0.87,0.996,0.9632599999999999,0.03732099498495003,0.8700000000000001,0.996,0.9632192542186041,0.03740861147565875,0.8694819739546259,0.9959999639996759,0.9907736799999999,0.014533389066846506,0.9534530000000001,0.9998929999999999,0.990851800008687,0.014337091918174187,0.9545936628068683,0.9998936826602707,0.9271482056137239,0.07352411962044506,0.7459450015355249,0.9920317455237933,0.9638897563173005,0.03620521099188006,0.8759688819701582,0.996031746031746,0.9632599999999999,0.03732099498495003,0.8700000000000001,0.996,2400,1200
2,30,0.96718,0.03385689245436839,0.8985,0.9965,0.96718,0.03385689245436836,0.8985000000000001,0.9964999999999999,0.9671738766223588,0.03386727908497249,0.8984926660951253,0.9964999781248634,0.9916135799999999,0.013369424925833581,0.9619190000000001,0.999937,0.9917043278847381,0.013263351379433892,0.961488133882971,0.9999372973648615,0.9345192843887584,0.06756418694646442,0.7971151914683522,0.9930124127327392,0.9673393459960289,0.0337076136431156,0.8986151997927401,0.9965124128103202,0.96718,0.03385689245436836,0.8985000000000001,0.9964999999999999,3600,1800
2,40,0.9687,0.034327467136390954,0.8965,0.9975,0.9687,0.03432746713639093,0.8965000000000001,0.9975,0.9686859140088541,0.03435381951185402,0.8964906582819099,0.9974999843749024,0.99198588,0.012778595174385675,0.9587610000000001,0.999998,0.9921087812513087,0.012550212043913461,0.959561171227143,0.9999980024955085,0.9376750497098896,0.06822035788183191,0.7931431752658696,0.995012437733208,0.968975377023787,0.033894376746215524,0.8966431881909369,0.9975124378109452,0.9687,0.03432746713639093,0.8965000000000001,0.9975,4800,2400
2,50,0.97098,0.030912672697994494,0.9105,0.9975,0.97098,0.03091267269799448,0.9105000000000001,0.9975,0.970972443129959,0.030925216461228477,0.9104659546792668,0.9974999993749998,0.99305606,0.010868315773691278,0.9697910000000001,0.999997,0.9931356851214969,0.010673298614686985,0.970171118730014,0.9999970044855404,0.9421586683765044,0.06158996123613423,0.8216250836546287,0.995012437733208,0.9711787426149664,0.030677453543683193,0.9111253216141753,0.9975124378109452,0.97098,0.03091267269799448,0.9105000000000001,0.9975,6000,3000
2,60,0.97214,0.031523311480024865,0.9065,0.9985,0.97214,0.03152331148002486,0.9065,0.9984999999999999,0.97212781335266,0.03154712275822389,0.9063463846574343,0.9984999966249923,0.9933011399999999,0.010626529412983357,0.969828,0.999999,0.993436953693941,0.010379543943142016,0.9705241728183632,0.999999000999001,0.9445361360928298,0.06261706988463872,0.8156802425382013,0.9970044865302841,0.9723963926518912,0.031094739952832465,0.9091846605579206,0.9985044865403789,0.97214,0.03152331148002486,0.9065,0.9984999999999999,7200,3600
2,70,0.97316,0.029973849713819996,0.9145,0.999,0.97316,0.02997384971381995,0.9145000000000001,0.999,0.9731568230516017,0.02997821826508106,0.9144738076035785,0.998999998999999,0.9939214,0.009567437448624008,0.9739850000000001,1.0,0.9940211654874312,0.009356162803613554,0.9746479364596066,1.0,0.9464334681191029,0.05986226248878037,0.8295082294835335,0.998001996005988,0.9732734990130893,0.029888706201463926,0.9150083852719582,0.999001996007984,0.97316,0.02997384971381995,0.9145000000000001,0.999,8400,4200
2,80,0.97324,0.03043713466584308,0.907,0.9995,0.97324,0.030437134665843073,0.907,0.9995,0.9732331717120536,0.030450404950819975,0.9068655138019299,0.999499999875,0.9939731,0.009541784214705347,0.9733580000000001,1.0,0.9940630457458561,0.009393315796293265,0.973680347983855,1.0,0.9466522372852979,0.0606431723483962,0.8163610650713002,0.9990004995003746,0.9734123840457471,0.030207116165857712,0.9093644892901398,0.9995004995004995,0.97324,0.030437134665843073,0.907,0.9995,9600,4800
2,90,0.9739,0.029413715621571287,0.91,0.9985,0.9739,0.029413715621571287,0.9099999999999999,0.9984999999999999,0.9738896526544327,0.029434301532597983,0.9098484552532808,0.9984999966249923,0.99434714,0.009016875553094897,0.974724,1.0,0.9944705413739277,0.00875954792816841,0.9755806548623086,1.0,0.9480455129478842,0.05844217091039032,0.8227708211069551,0.9970044865302841,0.9741457389110981,0.02902951791276012,0.9127755024786666,0.9985044865403789,0.9739,0.029413715621571287,0.9099999999999999,0.9984999999999999,10800,5400
2,100,0.9749599999999999,0.02891543705358784,0.9165,1.0,0.9749599999999999,0.028915437053587817,0.9165000000000001,1.0,0.9749576805828201,0.028919429466440976,0.9164869510861071,1.0,0.99447344,0.008565678421419195,0.9759019999999999,1.0,0.9945641307265675,0.008359580443382714,0.9764878107249454,1.0,0.9499909520595443,0.05775210017699918,0.8332604345850719,1.0,0.975030961443958,0.028836693477010247,0.9167604752970606,1.0,0.9749599999999999,0.028915437053587817,0.9165000000000001,1.0,12000,6000
3,10,0.9653733333333334,0.04593124088122254,0.8676666666666667,0.996,0.9653733333333334,0.045931240881222545,0.8676666666666667,0.996,0.9652819768770055,0.046110297452473435,0.8668419464145676,0.995999995999996,0.9931095500000001,0.011943752387638578,0.9671405000000001,0.9999545,0.9868316868110343,0.0226269914397895,0.9377218908404544,0.9999095173976015,0.9484701749753335,0.06813041155662099,0.8048924610953749,0.9940106028363124,0.9660305490000082,0.04472302885161353,0.8706233526457284,0.996021078682369,0.9653733333333334,0.045931240881222545,0.8676666666666667,0.996,1800,600
3,20,0.9689466666666666,0.041503868628250944,0.88,0.998,0.9689466666666666,0.04150386862825093,0.88,0.9979999999999999,0.9688251977308089,0.041762381701588934,0.8775978696623984,0.997999997999998,0.9946013966666666,0.009313387828803192,0.9751373333333332,0.9999735,0.9898092816058268,0.017333383861459523,0.9526605362701926,0.9999472667616466,0.9536648655362187,0.0617780316147142,0.8238482579429919,0.9970006646673314,0.9692395163865762,0.04096074997506523,0.8839278380628451,0.9980013253386346,0.9689466666666666,0.04150386862825093,0.88,0.9979999999999999,3600,1200
3,30,0.9721733333333333,0.03838247092194659,0.891,0.9976666666666667,0.9721733333333333,0.03838247092194658,0.891,0.9976666666666666,0.9720890354400086,0.03856580102897467,0.8896901015756365,0.9976666660833332,0.99528132,0.008274654899395923,0.9777678333333334,0.9999898333333334,0.9910275580091992,0.015622733974808862,0.9582397093144078,0.9999797443111184,0.9584981015696848,0.05710686305450583,0.8389820242802477,0.9965014947533632,0.9725054680307775,0.0377616976134168,0.8937582253750942,0.9976696456934779,0.9721733333333333,0.03838247092194658,0.891,0.9976666666666666,5400,1800
3,40,0.9734533333333333,0.036854051488419984,0.893,0.998,0.9734533333333333,0.036854051488419984,0.8929999999999999,0.9979999999999999,0.9733996948843325,0.036964783348505045,0.892622763798791,0.997999997999998,0.9955678666666666,0.007866012407394676,0.9776568333333334,0.9999825000000001,0.9916060097903234,0.014833452658211427,0.9580203074065637,0.9999652128666371,0.9602844258090596,0.05510750691612631,0.8397271769311966,0.9970006646673314,0.9735603470007885,0.03671851255145087,0.8927213388675049,0.9980013253386346,0.9734533333333333,0.036854051488419984,0.8929999999999999,0.9979999999999999,7200,2400
3,50,0.97504,0.03441230400113696,0.9026666666666666,0.998,0.97504,0.034412304001136935,0.9026666666666667,0.9979999999999999,0.9750225763888382,0.03444914515142372,0.9022340979162305,0.997999997999998,0.9960387133333333,0.007056849792237924,0.9801748333333333,0.9999973333333334,0.9924770383621697,0.013301891393581771,0.9627604557528308,0.9999946772802096,0.9626333238554239,0.05149637513571968,0.8545184226827389,0.9970026586773014,0.9751551200909835,0.03423510468233266,0.9028818100257648,0.9980053014181559,0.97504,0.034412304001136935,0.9026666666666667,0.9979999999999999,9000,3000
