seed,num_classes,combo_idx,class_list,subset_pct,num_samples,samples_per_class,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,2,3,"[5, 8]",40,4800,2400,24,4.72,0.997,0.997,0.997,0.997,0.997,0.997,0.9999,0.9999,0.994,0.994,0.0168
14994796,2,3,"[5, 8]",50,6000,3000,17,4.06,0.997,0.997,0.997,0.997,0.997,0.997,1.0,1.0,0.994,0.994,0.0085
14994796,2,3,"[5, 8]",60,7200,3600,21,6.01,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,1.0,1.0,0.997,0.997,0.004
14994796,2,3,"[5, 8]",70,8400,4200,23,7.87,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,0.998,0.998,0.003
14994796,2,3,"[5, 8]",80,9600,4800,20,7.74,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,0.998,0.998,0.0021
14994796,2,3,"[5, 8]",90,10800,5400,22,9.6,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,1.0,1.0,0.997,0.997,0.0023
14994796,2,3,"[5, 8]",100,12000,6000,33,15.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009
14994796,2,4,"[7, 9]",10,1200,600,15,0.74,0.96,0.96,0.96,0.96,0.9602,0.96,0.9939,0.9941,0.9202,0.92,0.1085
14994796,2,4,"[7, 9]",20,2400,1200,14,1.35,0.9625,0.9625,0.9625,0.9625,0.9626,0.9625,0.9953,0.9954,0.9251,0.925,0.0954
14994796,2,4,"[7, 9]",30,3600,1800,13,1.89,0.9625,0.9625,0.9625,0.9625,0.9626,0.9625,0.9951,0.9952,0.9251,0.925,0.1012
14994796,2,4,"[7, 9]",40,4800,2400,11,2.19,0.9645,0.9645,0.9645,0.9645,0.9646,0.9645,0.9939,0.9941,0.9291,0.929,0.099
14994796,2,4,"[7, 9]",50,6000,3000,19,4.57,0.973,0.973,0.973,0.973,0.9732,0.973,0.9965,0.9966,0.9462,0.946,0.1062
14994796,2,4,"[7, 9]",60,7200,3600,17,4.89,0.97,0.97,0.97,0.97,0.9701,0.97,0.996,0.9961,0.9401,0.94,0.0936
14994796,2,4,"[7, 9]",70,8400,4200,16,5.38,0.977,0.977,0.977,0.977,0.9771,0.977,0.9969,0.997,0.9541,0.954,0.078
