seed,noise_rate,noisy_pct,clean_samples,noisy_samples,num_corrupted,total_samples,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,0.15,50,30000,30000,4510,60000,17,44.09,0.9117,0.9117,0.9113,0.9113,0.912,0.9117,0.9935,0.9596,0.902,0.9019,0.3208
14994796,0.2,0,30000,0,0,30000,18,22.9,0.9115,0.9115,0.911,0.911,0.9115,0.9115,0.994,0.96,0.9018,0.9017,0.2747
14994796,0.2,5,30000,3000,582,33000,17,24.59,0.9108,0.9108,0.9103,0.9103,0.9107,0.9108,0.9931,0.9571,0.901,0.9009,0.2694
14994796,0.2,10,30000,6000,1171,36000,16,26.2,0.9126,0.9126,0.9118,0.9118,0.9127,0.9126,0.9938,0.9602,0.9031,0.9029,0.2731
14994796,0.2,15,30000,9000,1771,39000,16,28.89,0.9095,0.9095,0.9083,0.9083,0.9099,0.9095,0.993,0.9577,0.8998,0.8994,0.3086
14994796,0.2,20,30000,12000,2364,42000,19,33.64,0.9109,0.9109,0.9111,0.9111,0.9115,0.9109,0.993,0.957,0.901,0.901,0.2849
14994796,0.2,25,30000,15000,2961,45000,16,30.93,0.9125,0.9125,0.9121,0.9121,0.9126,0.9125,0.9935,0.9605,0.9029,0.9028,0.3108
14994796,0.2,30,30000,18000,3556,48000,15,31.32,0.9056,0.9056,0.9048,0.9048,0.9051,0.9056,0.993,0.9547,0.8952,0.8951,0.3209
14994796,0.2,35,30000,21000,4146,51000,15,33.17,0.8993,0.8993,0.9003,0.9003,0.9032,0.8993,0.9926,0.9527,0.8883,0.8881,0.365
14994796,0.2,40,30000,24000,4751,54000,14,32.43,0.9078,0.9078,0.908,0.908,0.9095,0.9078,0.9938,0.9589,0.8977,0.8976,0.3349
14994796,0.2,45,30000,27000,5377,57000,15,36.23,0.9111,0.9111,0.9116,0.9116,0.9127,0.9111,0.9934,0.9575,0.9013,0.9012,0.3342
14994796,0.2,50,30000,30000,5965,60000,15,38.69,0.9077,0.9077,0.9076,0.9076,0.9081,0.9077,0.9933,0.9583,0.8975,0.8974,0.3598
14994796,0.25,0,30000,0,0,30000,18,22.82,0.9115,0.9115,0.911,0.911,0.9115,0.9115,0.994,0.96,0.9018,0.9017,0.2747
14994796,0.25,5,30000,3000,715,33000,17,23.88,0.9074,0.9074,0.9078,0.9078,0.9102,0.9074,0.9934,0.9563,0.8973,0.8971,0.2697
14994796,0.25,10,30000,6000,1459,36000,15,22.91,0.9063,0.9063,0.9052,0.9052,0.9057,0.9063,0.9932,0.9571,0.8961,0.8959,0.2953
14994796,0.25,15,30000,9000,2190,39000,15,24.57,0.9071,0.9071,0.9071,0.9071,0.9088,0.9071,0.9931,0.9565,0.897,0.8968,0.3147
14994796,0.25,20,30000,12000,2927,42000,17,29.52,0.9046,0.9046,0.9046,0.9046,0.9057,0.9046,0.9929,0.9553,0.8941,0.894,0.3152
14994796,0.25,25,30000,15000,3697,45000,16,29.49,0.9069,0.9069,0.9063,0.9063,0.9066,0.9069,0.9928,0.9549,0.8967,0.8966,0.3245
14994796,0.25,30,30000,18000,4443,48000,16,31.47,0.9079,0.9079,0.9082,0.9082,0.9086,0.9079,0.9929,0.9565,0.8977,0.8977,0.3289
14994796,0.25,35,30000,21000,5189,51000,17,37.42,0.9112,0.9112,0.9117,0.9117,0.9125,0.9112,0.9931,0.9594,0.9014,0.9013,0.3581
14994796,0.25,40,30000,24000,5938,54000,16,37.07,0.9062,0.9062,0.9051,0.9051,0.9068,0.9062,0.9926,0.9562,0.8961,0.8958,0.3793
14994796,0.25,45,30000,27000,6711,57000,16,40.53,0.9123,0.9123,0.9125,0.9125,0.9128,0.9123,0.9931,0.9586,0.9026,0.9026,0.3412
14994796,0.25,50,30000,30000,7460,60000,14,36.8,0.9085,0.9085,0.908,0.908,0.9084,0.9085,0.9934,0.9569,0.8985,0.8983,0.3724
14994796,0.3,0,30000,0,0,30000,18,23.45,0.9115,0.9115,0.911,0.911,0.9115,0.9115,0.994,0.96,0.9018,0.9017,0.2747
14994796,0.3,5,30000,3000,871,33000,16,22.52,0.9051,0.9051,0.9048,0.9048,0.9065,0.9051,0.9933,0.9573,0.8948,0.8946,0.271
14994796,0.3,10,30000,6000,1758,36000,16,24.65,0.907,0.907,0.9066,0.9066,0.907,0.907,0.9928,0.9544,0.8968,0.8967,0.299
14994796,0.3,15,30000,9000,2641,39000,17,27.82,0.9089,0.9089,0.9088,0.9088,0.9089,0.9089,0.9928,0.9575,0.8988,0.8988,0.3342
14994796,0.3,20,30000,12000,3536,42000,16,29.27,0.9046,0.9046,0.9036,0.9036,0.9055,0.9046,0.9923,0.9552,0.8943,0.894,0.3308
14994796,0.3,25,30000,15000,4486,45000,16,30.74,0.9021,0.9021,0.9031,0.9031,0.9059,0.9021,0.9923,0.9552,0.8914,0.8912,0.3777
14994796,0.3,30,30000,18000,5375,48000,15,31.01,0.9033,0.9033,0.9014,0.9014,0.9035,0.9033,0.9929,0.9544,0.893,0.8926,0.3729
14994796,0.3,35,30000,21000,6272,51000,14,30.44,0.8996,0.8996,0.9006,0.9006,0.9034,0.8996,0.9927,0.954,0.8887,0.8884,0.4121
14994796,0.3,40,30000,24000,7183,54000,17,38.48,0.9091,0.9091,0.9089,0.9089,0.9091,0.9091,0.9932,0.9569,0.899,0.899,0.3815
14994796,0.3,45,30000,27000,8120,57000,17,40.16,0.9149,0.9149,0.9148,0.9148,0.9151,0.9149,0.9933,0.9582,0.9055,0.9054,0.3682
14994796,0.3,50,30000,30000,9026,60000,16,40.09,0.9067,0.9067,0.9063,0.9063,0.9078,0.9067,0.9931,0.9577,0.8966,0.8963,0.4167
14994796,0.35,0,30000,0,0,30000,18,22.46,0.9115,0.9115,0.911,0.911,0.9115,0.9115,0.994,0.96,0.9018,0.9017,0.2747
14994796,0.35,5,30000,3000,1019,33000,16,21.7,0.9057,0.9057,0.9049,0.9049,0.9066,0.9057,0.993,0.9565,0.8955,0.8952,0.2831
14994796,0.35,10,30000,6000,2051,36000,16,24.09,0.9052,0.9052,0.9055,0.9055,0.9066,0.9052,0.9927,0.9562,0.8948,0.8947,0.3151
14994796,0.35,15,30000,9000,3074,39000,17,27.55,0.9051,0.9051,0.9043,0.9043,0.9045,0.9051,0.9921,0.9524,0.8947,0.8946,0.3291
14994796,0.35,20,30000,12000,4130,42000,16,27.58,0.9008,0.9008,0.9005,0.9005,0.9028,0.9008,0.9922,0.9534,0.8901,0.8898,0.3576
14994796,0.35,25,30000,15000,5208,45000,16,29.91,0.9074,0.9074,0.9062,0.9062,0.9069,0.9074,0.9924,0.9532,0.8973,0.8971,0.3752
14994796,0.35,30,30000,18000,6231,48000,15,30.04,0.9058,0.9058,0.9067,0.9067,0.9084,0.9058,0.9927,0.954,0.8954,0.8953,0.4003
14994796,0.35,35,30000,21000,7293,51000,18,38.9,0.9076,0.9076,0.9074,0.9074,0.9081,0.9076,0.9923,0.9545,0.8974,0.8973,0.3842
14994796,0.35,40,30000,24000,8363,54000,17,38.36,0.9078,0.9078,0.9082,0.9082,0.9089,0.9078,0.9927,0.9533,0.8976,0.8976,0.418
14994796,0.35,45,30000,27000,9446,57000,17,43.13,0.9076,0.9076,0.9069,0.9069,0.9073,0.9076,0.9918,0.9535,0.8975,0.8973,0.4492
14994796,0.35,50,30000,30000,10503,60000,16,41.92,0.9044,0.9044,0.9046,0.9046,0.905,0.9044,0.9929,0.9548,0.8938,0.8938,0.4423
14994796,0.4,0,30000,0,0,30000,18,23.52,0.9115,0.9115,0.911,0.911,0.9115,0.9115,0.994,0.96,0.9018,0.9017,0.2747
14994796,0.4,5,30000,3000,1170,33000,15,21.32,0.9049,0.9049,0.9032,0.9032,0.905,0.9049,0.9931,0.9557,0.8947,0.8943,0.2945
14994796,0.4,10,30000,6000,2348,36000,15,23.07,0.9023,0.9023,0.9016,0.9016,0.9016,0.9023,0.9927,0.9542,0.8915,0.8914,0.305
14994796,0.4,15,30000,9000,3515,39000,16,26.45,0.9045,0.9045,0.9036,0.9036,0.9042,0.9045,0.992,0.9508,0.8941,0.8939,0.3482
14994796,0.4,20,30000,12000,4724,42000,17,30.01,0.9061,0.9061,0.9054,0.9054,0.9072,0.9061,0.9922,0.9527,0.896,0.8957,0.3997
14994796,0.4,25,30000,15000,5944,45000,17,31.94,0.9054,0.9054,0.9045,0.9045,0.9054,0.9054,0.9926,0.9557,0.8951,0.8949,0.3761
14994796,0.4,30,30000,18000,7118,48000,16,31.93,0.9073,0.9073,0.907,0.907,0.9071,0.9073,0.9925,0.9547,0.897,0.897,0.3944
14994796,0.4,35,30000,21000,8329,51000,15,31.85,0.9036,0.9036,0.9037,0.9037,0.9053,0.9036,0.9924,0.9535,0.8931,0.8929,0.4105
14994796,0.4,40,30000,24000,9544,54000,16,35.83,0.9039,0.9039,0.9045,0.9045,0.9069,0.9039,0.9919,0.9534,0.8934,0.8932,0.4462
14994796,0.4,45,30000,27000,10770,57000,16,37.88,0.9065,0.9065,0.9057,0.9057,0.9066,0.9065,0.9921,0.9526,0.8963,0.8961,0.4574
14994796,0.4,50,30000,30000,11962,60000,15,37.59,0.903,0.903,0.902,0.902,0.9027,0.903,0.9927,0.9531,0.8924,0.8922,0.5247
20194682,0.05,0,30000,0,0,30000,15,18.95,0.9065,0.9065,0.9059,0.9059,0.9062,0.9065,0.9936,0.9574,0.8962,0.8961,0.2589
20194682,0.05,5,30000,3000,161,33000,16,21.93,0.9041,0.9041,0.9026,0.9026,0.9043,0.9041,0.9936,0.9574,0.8938,0.8934,0.2681
20194682,0.05,10,30000,6000,318,36000,16,24.56,0.9015,0.9015,0.9027,0.9027,0.9063,0.9015,0.9935,0.957,0.8909,0.8906,0.2688
20194682,0.05,15,30000,9000,475,39000,18,29.2,0.9108,0.9108,0.911,0.911,0.9117,0.9108,0.994,0.9608,0.9009,0.9009,0.2576
20194682,0.05,20,30000,12000,635,42000,15,26.47,0.9091,0.9091,0.9096,0.9096,0.9105,0.9091,0.9939,0.9602,0.8991,0.899,0.2594
20194682,0.05,25,30000,15000,774,45000,17,32.36,0.9083,0.9083,0.907,0.907,0.9096,0.9083,0.9939,0.9602,0.8986,0.8981,0.2763
20194682,0.05,30,30000,18000,917,48000,17,34.16,0.9181,0.9181,0.9171,0.9171,0.9178,0.9181,0.9943,0.9641,0.9092,0.909,0.2438
20194682,0.05,35,30000,21000,1070,51000,19,40.55,0.9146,0.9146,0.9142,0.9142,0.9145,0.9146,0.9939,0.961,0.9052,0.9051,0.2555
