seed,subset_pct,num_samples,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
73962792,20,12000,17,28.98,0.8806,0.8806,0.8836,0.8836,0.8916,0.8806,0.9918,0.9453,0.8681,0.8673,0.3457
73962792,25,15000,16,33.96,0.8904,0.8904,0.8894,0.8894,0.8915,0.8904,0.9926,0.9499,0.8786,0.8782,0.3005
73962792,30,18000,14,35.14,0.8898,0.8898,0.8892,0.8892,0.8902,0.8898,0.9921,0.9482,0.8777,0.8776,0.3014
73962792,35,21000,17,31.96,0.905,0.905,0.9049,0.9049,0.9057,0.905,0.9934,0.9561,0.8946,0.8944,0.2795
73962792,40,24000,16,28.59,0.9021,0.9021,0.9026,0.9026,0.9036,0.9021,0.9935,0.956,0.8913,0.8912,0.2676
73962792,45,27000,16,28.92,0.909,0.909,0.9082,0.9082,0.9106,0.909,0.9939,0.9589,0.8993,0.8989,0.2729
73962792,50,30000,16,30.01,0.9071,0.9071,0.9062,0.9062,0.9078,0.9071,0.994,0.9591,0.8971,0.8968,0.2618
73962792,55,33000,18,35.59,0.9125,0.9125,0.9126,0.9126,0.913,0.9125,0.9945,0.9619,0.9028,0.9028,0.254
73962792,60,36000,16,33.79,0.9095,0.9095,0.9098,0.9098,0.9108,0.9095,0.9943,0.9612,0.8995,0.8994,0.2573
73962792,65,39000,16,50.1,0.9143,0.9143,0.9126,0.9126,0.9143,0.9143,0.9946,0.9629,0.9052,0.9048,0.2494
73962792,70,42000,16,94.08,0.9183,0.9183,0.917,0.917,0.918,0.9183,0.9947,0.9644,0.9095,0.9092,0.2365
73962792,75,45000,18,90.09,0.9194,0.9194,0.9188,0.9188,0.9195,0.9194,0.9951,0.9666,0.9106,0.9104,0.2305
73962792,80,48000,19,66.55,0.9178,0.9178,0.9169,0.9169,0.9173,0.9178,0.9952,0.9675,0.9088,0.9087,0.2379
73962792,85,51000,17,57.76,0.9187,0.9187,0.9188,0.9188,0.9196,0.9187,0.9951,0.9663,0.9098,0.9097,0.2289
73962792,90,54000,20,73.15,0.9176,0.9176,0.9175,0.9175,0.9183,0.9176,0.995,0.9664,0.9085,0.9084,0.2411
73962792,95,57000,19,160.09,0.9228,0.9228,0.9228,0.9228,0.9233,0.9228,0.9955,0.9696,0.9143,0.9142,0.2292
73962792,100,60000,17,80.16,0.9196,0.9196,0.9195,0.9195,0.9202,0.9196,0.9954,0.9677,0.9108,0.9107,0.2276
99719928,5,3000,20,4.69,0.8485,0.8485,0.8477,0.8477,0.855,0.8485,0.9867,0.9211,0.8326,0.8317,0.488
99719928,10,6000,19,7.64,0.8776,0.8776,0.8793,0.8793,0.8845,0.8776,0.9903,0.9361,0.8645,0.864,0.3453
99719928,15,9000,19,11.1,0.8824,0.8824,0.8818,0.8818,0.8829,0.8824,0.9907,0.9387,0.8696,0.8693,0.3492
99719928,20,12000,14,11.26,0.8801,0.8801,0.8808,0.8808,0.8827,0.8801,0.9906,0.9376,0.8669,0.8668,0.3262
99719928,25,15000,18,16.28,0.8886,0.8886,0.8878,0.8878,0.8903,0.8886,0.9921,0.948,0.8766,0.8762,0.3095
99719928,30,18000,14,15.46,0.8903,0.8903,0.8913,0.8913,0.8941,0.8903,0.992,0.9474,0.8783,0.8781,0.2978
99719928,35,21000,16,19.96,0.8993,0.8993,0.899,0.899,0.8995,0.8993,0.9931,0.9529,0.8882,0.8881,0.2816
99719928,40,24000,16,22.4,0.9028,0.9028,0.9011,0.9011,0.9027,0.9028,0.9936,0.9565,0.8924,0.892,0.2689
99719928,45,27000,18,34.79,0.9112,0.9112,0.9112,0.9112,0.9118,0.9112,0.9939,0.9602,0.9014,0.9013,0.2613
99719928,50,30000,17,64.78,0.9088,0.9088,0.9084,0.9084,0.9091,0.9088,0.9942,0.9613,0.8988,0.8987,0.2578
99719928,55,33000,19,83.59,0.9119,0.9119,0.9104,0.9104,0.912,0.9119,0.9946,0.9636,0.9025,0.9021,0.2538
99719928,60,36000,17,69.92,0.9117,0.9117,0.9114,0.9114,0.9121,0.9117,0.9946,0.9633,0.902,0.9019,0.2483
99719928,65,39000,19,54.94,0.9107,0.9107,0.9109,0.9109,0.9118,0.9107,0.9946,0.9635,0.9009,0.9008,0.2685
99719928,70,42000,21,58.48,0.9146,0.9146,0.9144,0.9144,0.9151,0.9146,0.9943,0.9626,0.9052,0.9051,0.2682
99719928,75,45000,14,37.31,0.9097,0.9097,0.9088,0.9088,0.9097,0.9097,0.9939,0.9595,0.8999,0.8997,0.2559
99719928,80,48000,18,48.47,0.92,0.92,0.9201,0.9201,0.9205,0.92,0.9951,0.9666,0.9111,0.9111,0.2286
99719928,85,51000,19,91.95,0.9157,0.9157,0.9152,0.9152,0.9159,0.9157,0.9952,0.9672,0.9065,0.9063,0.2398
99719928,90,54000,17,129.32,0.9171,0.9171,0.9174,0.9174,0.9189,0.9171,0.9954,0.9687,0.908,0.9079,0.2378
99719928,95,57000,19,115.48,0.9232,0.9232,0.923,0.923,0.9232,0.9232,0.9953,0.9679,0.9147,0.9147,0.2372
99719928,100,60000,19,91.45,0.9241,0.9241,0.9239,0.9239,0.9249,0.9241,0.9956,0.9695,0.9158,0.9157,0.231
